15203,Laboratorio Centro Excelencia Academica,25,0
16101,Aula de diseño,20,1
16102,Aula de diseño,20,1
16103,Aula de dibujo,25,1
16104,Aula de diseño,20,1
16201,Aula de dibujo,25,0
16202,Aula de clase,35,0
16203,Aula de clase,35,0
16204,Aula de clase,35,0
17102,laboratorio de finanzas,25,1
17103,laboratorio de finanzas,25,1
17201,Aula de clase,35,0
17202,Aula de clase,35,0
17203,Aula de clase,35,0
17204,Aula de clase,35,0
17301,Aula de clase,35,0
17302,Aula de clase,35,0
17303,Aula de clase,35,0
17304,Aula de clase,35,0
18204,Sala de computo,16,1
18205,Sala de computo,12,1
18305,Sala de computo,30,1
18307,Sala de computo,15,1
18310,Sala de computo,20,1
18311,Sala de computo,19,1
18314,Sala de computo,21,1
18315,Sala de computo,30,1
18405,Sala de computo,10,1
18406,Sala de computo,10,1
18409,Sala de computo,15,1
18412,Sala de computo,20,1
18413,Sala de computo,20,1
18417,Sala de computo,30,1
18501,Sala de reuniones,8,1
18510,Sala de reuniones,8,1
18512,Sala de reuniones,8,1
18513,Auditorio,30,1
18526,Sala de reuniones,8,1
18600,Sala de reuniones,6,1
18600,Sala de reuniones rectoria,12,1
19001,Laboratorio construcciones,16,1
19002,Laboratorio de fisica del movimiento,16,1
19004,Laboratorio optica y fotonica,10,1
19005,Laboratorio cuantica computacional,6,1
19006,Laboratorio proyectos de fisica y electronica,24,1
19007,Laboratorio proyectos avanzados en fisica,18,1
19010,Laboratorio instrumentacion y espectroscopia,6,1
19101,Laboratorio de Hidraulica,9,1
19110,Laboratorio contruccion,16,1
19115,Laboratorio maquinas y herramientas,6,1
19117,Laboratorio proyectos metalmecanicos,10,1
19118,Laboratorio de procesamiento de plasticos y ceramicos,6,1
19206,Laboratorio control digital,18,1
19217,Laboratorio electrotecnia,12,1
19301,Laboratorio materiales,10,1
19304,"Laboratorio de suelos,concretos y pavimentos",10,1
19413,Sala de reuniones,6,1
19414,Aula de pedagogia inversa,80,1
19415,Aula de pedagogia inversa,80,1
19416,Sala de reuniones,6,1
19501,Auditorio,70,1
19510,Sala de reuniones,15,1
19513,Sala Showroom de telepresencia,15,1
19659,Sala de reuniones,12,1
19660,Sala de reuniones,8,1
19661,Sala de reuniones,8,1
19662,Sala de reuniones,5,1
19663,Sala de reuniones,5,1
19664,Sala de reuniones,5,1
19665,Sala de reuniones,10,1
19666,Sala de reuniones,10,1
19701,Sala de reuniones,5,1
19702,Sala de reuniones,5,1
19703,Aula Maestría,18,1
19704,Aula Maestría,30,1
19705,Aula Maestría,22,1
19706,Aula Maestría,32,1
19707,Aula Maestría,32,1
19708,Aula Maestría,32,1
19709,Sala de reuniones,6,1
19710,Aula Maestría,32,1
19711,Aula Maestría,19,1
19712,Aula Maestría,16,1
19801,Sala de reuniones,6,1
19802,Sala de reuniones,6,1
19805,Aula Maestría,30,1
19806,Aula Maestría,30,1
19807,Aula Maestría,30,1
19808,Aula Maestría,30,1
19810,Aula de clase,30,1
19815,Sala de reuniones,6,1
19817,Aula Maestría,32,1
23104,Laboratorio,N/A,1
23201,Aula de clase,40,0
23202,Aula de clase,40,0
23203,Aula de clase,40,0
23204,Aula de clase,40,0
26401,Sala de reuniones,12,1
26420,Sala de reuniones,12,1
26601,Sala de reuniones,12,1
26620,Sala de reuniones,12,1
26701, Camara Getzel  Sala de observacion,30,1
26702,Auditorio,38,1
26703,Camara Getzel  Sala de observacion,30,1
26818,Sala de reuniones,12,1
26909,Sala de reuniones,12,1
26910,Laboratorio Mercadeo,6,1
26919,Laboratorio Psicologia,20,1
26920,Sala de reuniones,12,1
26921,Sala de computo,30,1
26925,Laboratorio de mercadeo,10,1
26926,Laboratorio de mercadeo,10,1
27101,Auditorio,110,1
27103,Auditorio,77,1
27201,Aula de clase,35,1
27202,Aula de clase,35,1
